EVENT_ID,EPISODE_ID,EVENT_STATE,EVENT_COUNTY,EVENT_TYPE,EVENT_YEAR,EVENT_FIPS,COUNTY_FIPS,COUNTY_NAME,COUNTY_STATE,DISTANCE_KM,CZ_TYPE,VOTING_YEAR,reg_voters,ballots_cast,cvap,reg_voters_pct,voter_turnout_pct,reg_voter_turnout_pct,pres_dem_votes,pres_rep_votes,sen_dem_votes,sen_rep_votes,pres_dem_ratio,pres_rep_ratio,sen_dem_ratio,sen_rep_ratio,partisan_index_dem,partisan_index_rep
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08069,Larimer County County,CO,112.29087854252076,Z,2004,199271.0,147112.0,203293.0,0.98,0.7236452,0.7382509,68266.0,75884.0,73204.0,67597.0,0.4735761,0.5264239,0.5199111,0.4800889,,
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08069,Larimer County County,CO,112.29087854252076,Z,2006,201341.0,115929.0,211582.0,0.951598,0.5479152,0.5757844,,,,,,,,,0.460638,0.539362
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08069,Larimer County County,CO,112.29087854252076,Z,2008,211159.0,167506.0,228160.0,0.9254865,0.7341602,0.7932695,89822.0,73641.0,,,0.5494944,0.4505056,,,0.523119,0.476881
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08069,Larimer County County,CO,112.29087854252076,Z,2010,219107.0,127890.0,228160.0,0.9603217,0.5605277,0.5836874,,,,,,,,,0.523119,0.476881
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08069,Larimer County County,CO,112.29087854252076,Z,2012,241123.0,181752.0,228160.0,0.98,0.7965989,0.753773,92747.0,82376.0,,,0.5296106,0.4703894,,,0.539553,0.460447
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08069,Larimer County County,CO,112.29087854252076,Z,2014,235913.0,148123.0,254900.0,0.925512,0.5811024,0.6278713,,,68659.0,69198.0,,,0.4980451,0.5019549,0.525717,0.474283
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08069,Larimer County County,CO,112.29087854252076,Z,2016,255689.0,202248.0,254900.0,0.98,0.7934406,0.7909922,93113.0,83430.0,95789.0,86101.0,0.5274239,0.4725761,0.5266315,0.4733685,0.518228,0.481772
136719,23400,COLORADO,CENTRAL YAMPA RIVER BASIN,Winter Storm,2008,08002,08069,Larimer County County,CO,112.29087854252076,Z,2018,265458.0,183785.0,254900.0,0.98,0.7210082,0.6923317,,,,,,,,,0.518228,0.481772
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08107,Routt County County,CO,15.97635092155316,Z,2004,16777.0,11810.0,16000.0,0.98,0.738125,0.7039399,6392.0,5199.0,6771.0,4522.0,0.5514624,0.4485376,0.599575,0.400425,,
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08107,Routt County County,CO,15.97635092155316,Z,2006,16847.0,7984.0,16685.0,0.98,0.4785136,0.4739123,,,,,,,,,0.530156,0.469844
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08107,Routt County County,CO,15.97635092155316,Z,2008,17659.0,13329.0,18055.0,0.978067,0.7382442,0.7547992,8270.0,4725.0,,,0.6363986,0.3636014,,,0.605959,0.394041
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08107,Routt County County,CO,15.97635092155316,Z,2010,17273.0,9649.0,18055.0,0.9566879,0.5344226,0.5586175,,,,,,,,,0.605959,0.394041
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08107,Routt County County,CO,15.97635092155316,Z,2012,18945.0,13432.0,18055.0,0.98,0.7439491,0.7089998,7547.0,5469.0,,,0.5798248,0.4201752,,,0.608112,0.391888
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08107,Routt County County,CO,15.97635092155316,Z,2014,18601.0,10674.0,18985.0,0.9797735,0.5622333,0.5738401,,,5639.0,4278.0,,,0.5686195,0.4313805,0.594948,0.405052
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08107,Routt County County,CO,15.97635092155316,Z,2016,19988.0,14550.0,18985.0,0.98,0.7663945,0.7279367,7600.0,5230.0,7793.0,5265.0,0.5923616,0.4076383,0.5967989,0.4032011,0.581008,0.418992
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08107,Routt County County,CO,15.97635092155316,Z,2018,20709.0,13716.0,18985.0,0.98,0.7224651,0.6623207,,,,,,,,,0.581008,0.418992
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08057,Jackson County County,CO,43.71169197998253,Z,2004,1285.0,952.0,1131.0,0.98,0.841733,0.7408561,210.0,710.0,352.0,547.0,0.2282609,0.7717391,0.3915462,0.6084538,,
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08057,Jackson County County,CO,43.71169197998253,Z,2006,1285.0,796.0,1114.0,0.98,0.7145422,0.6194553,,,,,,,,,0.256121,0.743879
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08057,Jackson County County,CO,43.71169197998253,Z,2008,1318.0,912.0,1080.0,0.98,0.8444445,0.6919575,277.0,624.0,,,0.3074362,0.6925638,,,0.30867,0.69133
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08057,Jackson County County,CO,43.71169197998253,Z,2010,1215.0,788.0,1080.0,0.98,0.7296296,0.6485597,,,,,,,,,0.30867,0.69133
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08057,Jackson County County,CO,43.71169197998253,Z,2012,1254.0,861.0,1080.0,0.98,0.7972222,0.6866029,216.0,600.0,,,0.2647059,0.7352941,,,0.286071,0.713929
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08057,Jackson County County,CO,43.71169197998253,Z,2014,1150.0,786.0,1000.0,0.98,0.786,0.6834782,,,163.0,531.0,,,0.2348703,0.7651297,0.269004,0.730996
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08057,Jackson County County,CO,43.71169197998253,Z,2016,1209.0,884.0,1000.0,0.98,0.884,0.7311828,171.0,629.0,235.0,583.0,0.21375,0.78625,0.2872861,0.712714,0.250031,0.749969
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08057,Jackson County County,CO,43.71169197998253,Z,2018,1234.0,815.0,1000.0,0.98,0.815,0.6604538,,,,,,,,,0.250031,0.749969
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08049,Grand County County,CO,72.5685436290966,Z,2004,11281.0,7644.0,10263.0,0.98,0.7448115,0.6775995,3243.0,4260.0,3560.0,3788.0,0.4322271,0.5677729,0.4844856,0.5155144,,
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08049,Grand County County,CO,72.5685436290966,Z,2006,11447.0,6136.0,10622.0,0.98,0.577669,0.5360357,,,,,,,,,0.425503,0.574497
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08049,Grand County County,CO,72.5685436290966,Z,2008,11151.0,8413.0,11340.0,0.98,0.7418872,0.7544615,4037.0,4128.0,,,0.4944274,0.5055726,,,0.476392,0.523608
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08049,Grand County County,CO,72.5685436290966,Z,2010,11711.0,6750.0,11340.0,0.98,0.5952381,0.5763812,,,,,,,,,0.476392,0.523608
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08049,Grand County County,CO,72.5685436290966,Z,2012,12114.0,8273.0,11340.0,0.98,0.7295414,0.6829289,3684.0,4253.0,,,0.4641552,0.5358448,,,0.479291,0.520709
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08049,Grand County County,CO,72.5685436290966,Z,2014,11579.0,6981.0,11575.0,0.98,0.6031101,0.6029018,,,2795.0,3638.0,,,0.4344785,0.5655215,0.464354,0.535646
136720,23400,COLORADO,UPPER YAMPA RIVER BASIN,Winter Storm,2008,08005,08049,Grand County County,CO,72.5685436290966,Z,2016,11730.0,8924.0,11575.0,0.98,0.7709719,0.7607843,3358.0,4494.0,3623.0,4402.0,0.4276617,0.5723383,0.4514642,0.5485358,0.446066,0.553934
